product,mass_kg,material_id,countryMaking,impact_ecs
maillot-de-bain,0.3,ei-pa,MA,2055.3931591444743
maillot-de-bain,0.16,ei-pa,RAF,1152.8348728848082
tshirt,0.2,ei-pet,REO,1473.700607662568
tshirt,0.32,ei-coton,FR,3498.350118185578
maillot-de-bain,0.33,elasthane,BD,2804.5673082820927
chemise,0.3776778693677624,elasthane,RAS,3606.6875992259393
manteau,1.32,ei-pp,IN,9383.775807092105
maillot-de-bain,0.24,ei-pet,KH,1713.2864345628552
tshirt,0.34,ei-pa,PK,2794.0912503323243
maillot-de-bain,0.15,coton-rdpc,RME,1005.678580444468
calecon,0.03,ei-jute-kenaf,CN,366.7118760732413
maillot-de-bain,0.1,ei-acrylique,FR,679.2299566676711
pull,1.21,ei-pet-r,VN,8650.649582659225
calecon,0.04,ei-pet-r,RAS,393.58321700627954
pull,0.86,ei-laine-par-defaut,CN,12121.612646003006
slip,0.13,ei-lin,TN,1002.6263025752904
pantalon,1.33,ei-viscose,REE,10612.411973611195
jean,0.8243122025868124,ei-laine-par-defaut,MM,12758.003142083217
jean,0.9233788429222556,ei-lin,PK,7646.43795848637
slip,0.04,ei-lin,RLA,343.71799477276573
slip,0.09,ei-coton,---,1122.5836504702654
slip,0.02,ei-pet,---,222.2431991344141
chemise,0.292500439712309,ei-coton,---,3393.6905077262822
pantalon,1.27,elasthane,---,12247.322027402934
manteau,2.57,ei-laine-nouvelle-filiere,FR,19588.28129409549
jupe,0.29,ei-laine-nouvelle-filiere,IN,2522.884495876772
slip,0.02,ei-pet,RME,187.549851599759
chemise,0.3290607012552712,ei-pet,TN,2382.5123472516784
manteau,1.09,ei-coton,TN,11523.308152008827
maillot-de-bain,0.2,coton-rdpc,PK,1374.23433944616
jupe,0.17,ei-pa,TN,1292.1489083607903
chemise,0.3237071915117247,ei-coton-organic,RAS,2942.357741663671
pull,0.3,ei-pa,VN,2351.3801501075345
slip,0.05,ei-acrylique,MA,444.4270568457731
chemise,0.3933315350790612,ei-coton-organic,ROC,3797.608833642561
tshirt,0.15,ei-pa,TR,1189.5682722924594
pull,0.76,ei-coton-organic,CN,6414.590233967678
slip,0.01,ei-chanvre,PK,107.01036744699256
slip,0.09,ei-coton-organic,RAS,883.9142200843389
jean,0.4401688362755005,ei-pet-r,BD,3665.626059813844
pull,0.88,ei-laine-par-defaut,VN,12499.25699197051
jean,1.2882500701093538,elasthane,CN,13097.805860414388
chemise,0.3039520959607147,ei-laine-nouvelle-filiere,---,2698.0198842594664
jean,0.7038002455091099,ei-laine-nouvelle-filiere,RAF,6533.999095223064
chemise,0.0764252624394286,ei-pet-r,TR,571.3615909386175
pull,0.51,ei-viscose,REE,3683.724926559029
chaussettes,0.14,ei-pet-r,REO,830.6668041636328
jean,0.4083258568538981,ei-pet,KH,3546.774949583754
maillot-de-bain,0.31,coton-rdp,PK,2100.3616445483217
pull,0.93,ei-jute-kenaf,RLA,8452.180857194951
tshirt,0.31,ei-pp,TR,2176.0498973414205
jean,0.7106459217605523,coton-rdp,CN,6107.599456974223
jupe,0.95,ei-laine-par-defaut,MA,12989.86917400889
chaussettes,0.19,ei-pet,CN,1291.988764665693
maillot-de-bain,0.16,ei-coton,MM,1649.6404304366572
pull,0.39,ei-pet-r,FR,2479.0200447241014
slip,0.08,ei-pet,FR,612.1630992409453
pantalon,0.22,coton-rdp,CN,1868.496568773714
manteau,0.25,ei-acrylique,RLA,2018.4155100753503
chaussettes,0.16,elasthane,REO,1196.733995614887
maillot-de-bain,0.22,ei-lin,MA,1425.6189597765583
chemise,0.4504713236212274,ei-coton-organic,RNA,4045.070663558488
pull,0.15,ei-coton-organic,RME,1219.973141614586
manteau,3.57,coton-rdpc,BD,26719.022818084683
jean,1.3884039452508163,ei-coton-organic,ROC,14279.49798788994
