product,mass_kg,material_id,material_share,countryMaking,impact_ecs
calecon,0.1,ei-lin,1,REO,845.8455636963207
calecon,0.06,ei-lin,1,REO,515.7446158852484
calecon,0.09,ei-lin,1,REO,763.2984881696046
calecon,0.15,ei-lin,1,REO,1258.4062327383172
calecon,0.14,ei-lin,1,REO,1175.902834359497
calecon,0.16,ei-lin,1,REO,1340.9533082650337
calecon,0.09,ei-lin,1,REO,763.2984881696046
calecon,0.08,ei-pa,1,REO,716.8037769531004
calecon,0.14,ei-pa,1,REO,1238.91803689355
calecon,0.15,ei-pa,1,REO,1325.9225211676594
calecon,0.09,ei-pa,1,REO,803.8082612272099
calecon,0.06,ei-pa,1,REO,542.7511312569851
calecon,0.08,ei-pa,1,REO,716.8037769531004
calecon,0.15,ei-pa,1,REO,1325.9225211676594
calecon,0.07,ei-pa,1,REO,629.7556155310948
calecon,0.14,ei-pa,1,REO,1238.91803689355
calecon,0.16,ei-pa,1,REO,1412.970682589665
calecon,0.19,ei-pp,1,REO,1536.156835872874
calecon,0.14,ei-pp,1,REO,1137.3288961768014
calecon,0.04,ei-pp,1,REO,339.6730167846563
calecon,0.03,ei-pp,1,REO,259.92489970460014
calecon,0.12,ei-pp,1,REO,977.7889848687928
calecon,0.16,ei-pp,1,REO,1296.8688074848096
calecon,0.04,ei-pp,1,REO,339.6730167846563
calecon,0.14,ei-pp,1,REO,1137.3288961768014
calecon,0.09,ei-pp,1,REO,738.5009564807287
calecon,0.16,ei-pp,1,REO,1296.8688074848096
calecon,0.05,ei-pet,1,REO,434.8030609164676
calecon,0.06,ei-pet,1,REO,517.6188279772954
calecon,0.1,ei-pet,1,REO,848.9692505163993
calecon,0.06,ei-pet,1,REO,517.6188279772954
calecon,0.19,ei-pet,1,REO,1594.4421855075389
calecon,0.1,ei-pet,1,REO,848.9692505163993
calecon,0.12,ei-pet,1,REO,1014.6007846380548
calecon,0.06,ei-pet,1,REO,517.6188279772954
calecon,0.07,ei-pet,1,REO,600.4345950381235
calecon,0.06,ei-pet,1,REO,517.6188279772954
calecon,0.06,ei-pet-r,1,REO,507.63112544881415
calecon,0.09,ei-pet-r,1,REO,751.1282525149533
calecon,0.11,ei-pet-r,1,REO,913.4742296083448
calecon,0.12,ei-pet-r,1,REO,994.6253795810924
calecon,0.09,ei-pet-r,1,REO,751.1282525149533
calecon,0.16,ei-pet-r,1,REO,1319.3173337678754
calecon,0.13,ei-pet-r,1,REO,1075.8202067017362
calecon,0.03,ei-pet-r,1,REO,264.13399838267503
calecon,0.16,ei-pet-r,1,REO,1319.3173337678754
calecon,0.13,ei-pet-r,1,REO,1075.8202067017362
calecon,0.06,ei-viscose,1,REO,556.8655141499469
calecon,0.17,ei-viscose,1,REO,1539.9659183938325
calecon,0.03,ei-viscose,1,REO,288.7511927332414
calecon,0.02,ei-viscose,1,REO,199.3943113103049
calecon,0.11,ei-viscose,1,REO,1003.7372755604216
calecon,0.08,ei-viscose,1,REO,735.6229541437158
calecon,0.05,ei-viscose,1,REO,467.5086327270104
calecon,0.17,ei-viscose,1,REO,1539.9659183938325
calecon,0.2,ei-viscose,1,REO,1808.080239810538
calecon,0.19,ei-viscose,1,REO,1718.7233583876018
calecon,0.16,coton-rdpc,1,REE,1375.4007090658188
calecon,0.1,coton-rdpc,1,REE,873.8220657840625
calecon,0.19,coton-rdpc,1,REE,1626.1900307066967
calecon,0.1,coton-rdpc,1,REE,873.8220657840625
calecon,0.18,coton-rdpc,1,REE,1542.56447206114
calecon,0.03,coton-rdpc,1,REE,288.61786385675003
calecon,0.06,coton-rdpc,1,REE,539.407185497628
calecon,0.03,coton-rdpc,1,REE,288.61786385675003
calecon,0.09,coton-rdpc,1,REE,790.1965071385059
calecon,0.06,coton-rdpc,1,REE,539.407185497628
calecon,0.04,coton-rdp,1,REE,369.6045207968343
calecon,0.09,coton-rdp,1,REE,784.3572518839592
calecon,0.15,coton-rdp,1,REE,1282.0430583293503
calecon,0.09,coton-rdp,1,REE,784.3572518839592
calecon,0.02,coton-rdp,1,REE,203.7383700803012
calecon,0.09,coton-rdp,1,REE,784.3572518839592
calecon,0.02,coton-rdp,1,REE,203.7383700803012
calecon,0.13,coton-rdp,1,REE,1116.176907612817
calecon,0.18,coton-rdp,1,REE,1530.8859615520462
calecon,0.11,coton-rdp,1,REE,950.2670797483884
calecon,0.17,ei-chanvre,1,REE,1509.896810834516
calecon,0.04,ei-chanvre,1,REE,384.1795618887722
calecon,0.16,ei-chanvre,1,REE,1423.3199752032651
calecon,0.14,ei-chanvre,1,REE,1250.1226267928669
calecon,0.06,ei-chanvre,1,REE,557.3769102991704
